Wvlgth Direct_normal_irradiance Difuse_horizn_irradiance Dir_norml_PAR_photn_flux
.5300E+03 .1199E+01 .1976E+00 .5310E+01
.5310E+03 .1265E+01 .2073E+00 .5615E+01
.5320E+03 .1243E+01 .2025E+00 .5529E+01
.5330E+03 .1111E+01 .1800E+00 .4951E+01
.5340E+03 .1192E+01 .1920E+00 .5319E+01
.5350E+03 .1211E+01 .1941E+00 .5416E+01
.5360E+03 .1264E+01 .2016E+00 .5664E+01
.5370E+03 .1171E+01 .1857E+00 .5257E+01
.5380E+03 .1231E+01 .1941E+00 .5536E+01
.5390E+03 .1202E+01 .1886E+00 .5415E+01
.5400E+03 .1161E+01 .1813E+00 .5241E+01
.5410E+03 .1116E+01 .1733E+00 .5046E+01
.5420E+03 .1215E+01 .1875E+00 .5505E+01
.5430E+03 .1197E+01 .1836E+00 .5435E+01
.5440E+03 .1239E+01 .1891E+00 .5635E+01
.5450E+03 .1212E+01 .1841E+00 .5521E+01
.5460E+03 .1200E+01 .1814E+00 .5477E+01
.5470E+03 .1217E+01 .1829E+00 .5566E+01
.5480E+03 .1184E+01 .1769E+00 .5424E+01
.5490E+03 .1222E+01 .1817E+00 .5610E+01
.5500E+03 .1214E+01 .1795E+00 .5582E+01
.5510E+03 .1214E+01 .1784E+00 .5592E+01
.5520E+03 .1240E+01 .1812E+00 .5722E+01
.5530E+03 .1205E+01 .1752E+00 .5573E+01
.5540E+03 .1230E+01 .1777E+00 .5695E+01
.5550E+03 .1237E+01 .1778E+00 .5739E+01
.5560E+03 .1216E+01 .1738E+00 .5653E+01
.5570E+03 .1187E+01 .1686E+00 .5527E+01
.5580E+03 .1213E+01 .1711E+00 .5657E+01
.5590E+03 .1148E+01 .1609E+00 .5362E+01
.5600E+03 .1169E+01 .1628E+00 .5471E+01
.5610E+03 .1237E+01 .1712E+00 .5802E+01
.5620E+03 .1178E+01 .1620E+00 .5535E+01
.5630E+03 .1223E+01 .1672E+00 .5755E+01
.5640E+03 .1199E+01 .1630E+00 .5653E+01
.5650E+03 .1207E+01 .1632E+00 .5699E+01
.5660E+03 .1141E+01 .1534E+00 .5400E+01
.5670E+03 .1216E+01 .1626E+00 .5765E+01
.5680E+03 .1204E+01 .1601E+00 .5715E+01
.5690E+03 .1170E+01 .1550E+00 .5565E+01
.5700E+03 .1172E+01 .1545E+00 .5586E+01
.5710E+03 .1136E+01 .1488E+00 .5423E+01
.5720E+03 .1197E+01 .1561E+00 .5725E+01
.5730E+03 .1203E+01 .1560E+00 .5760E+01
.5740E+03 .1196E+01 .1545E+00 .5740E+01
.5750E+03 .1169E+01 .1504E+00 .5617E+01
.5760E+03 .1159E+01 .1485E+00 .5583E+01
.5770E+03 .1190E+01 .1517E+00 .5738E+01
.5780E+03 .1155E+01 .1467E+00 .5581E+01
.5790E+03 .1175E+01 .1485E+00 .5685E+01
.5800E+03 .1198E+01 .1508E+00 .5810E+01
.5810E+03 .1207E+01 .1511E+00 .5862E+01
.5820E+03 .1229E+01 .1531E+00 .5978E+01
.5830E+03 .1244E+01 .1544E+00 .6063E+01
.5840E+03 .1243E+01 .1537E+00 .6070E+01
.5850E+03 .1235E+01 .1519E+00 .6038E+01
.5860E+03 .1205E+01 .1476E+00 .5905E+01
.5870E+03 .1231E+01 .1501E+00 .6038E+01
.5880E+03 .1196E+01 .1455E+00 .5880E+01
